Class,Train_n,Train_pct,Val_n,Val_pct,Test_n,Test_pct
Lung nodule,326,46.4,69,46.6,88,58.7
Arterial wall calcification,210,29.9,44,29.7,69,46.0
Coronary artery wall calcification,182,25.9,37,25.0,60,40.0
Lung opacity,234,33.3,53,35.8,52,34.7
Atelectasis,184,26.2,45,30.4,45,30.0
Pulmonary fibrotic sequela,136,19.4,32,21.6,36,24.0
Emphysema,134,19.1,38,25.7,35,23.3
Lymphadenopathy,139,19.8,32,21.6,34,22.7
Hiatal hernia,106,15.1,18,12.2,27,18.0
Pleural effusion,69,9.8,12,8.1,25,16.7
Consolidation,126,17.9,23,15.5,24,16.0
Cardiomegaly,87,12.4,16,10.8,19,12.7
Bronchiectasis,69,9.8,14,9.5,18,12.0
Medical material,70,10.0,10,6.8,16,10.7
Interlobular septal thickening,48,6.8,6,4.1,10,6.7
Peribronchial thickening,70,10.0,14,9.5,10,6.7
Pericardial effusion,58,8.3,2,1.4,8,5.3
Mosaic attenuation pattern,50,7.1,8,5.4,8,5.3
