file,source,min,max,offset_suspected,error
train_10183_c_2.nii.gz,fixed,-1024.0,1122.1,False,
train_10252_a_1.nii.gz,fixed,-1024.0,2145.2,False,
train_10135_a_1.nii.gz,fixed,-1024.0,1300.9,False,
train_10030_b_1.nii.gz,fixed,-8192.0,5409.3,False,
train_10083_c_2.nii.gz,fixed,-1024.0,1534.0,False,
train_10065_a_1.nii.gz,fixed,-1018.7,1285.4,False,
train_10070_a_1.nii.gz,fixed,-1024.0,1770.3,False,
train_10234_a_2.nii.gz,fixed,-1024.0,1431.7,False,
train_10291_a_1.nii.gz,fixed,-1019.2,1485.6,False,
train_10012_a_2.nii.gz,fixed,-1024.0,1416.5,False,
train_10094_a_1.nii.gz,fixed,-1024.0,1509.1,False,
train_10000_a_2.nii.gz,fixed,-1116.8,1877.1,False,
train_1075_a_2.nii.gz,fixed,-1024.0,1203.2,False,
train_1030_a_1.nii.gz,fixed,-1516.6,3756.9,False,
train_10131_b_1.nii.gz,fixed,-1024.0,1340.0,False,
train_10257_a_2.nii.gz,fixed,-1024.0,1297.7,False,
train_10345_a_1.nii.gz,fixed,-1024.0,1529.5,False,
train_10191_a_1.nii.gz,fixed,-1019.2,1543.4,False,
train_1042_a_2.nii.gz,fixed,-1023.7,1435.2,False,
train_10032_a_1.nii.gz,fixed,-1019.2,1272.3,False,
train_10004_a_2.nii.gz,fixed,-1022.6,1687.9,False,
train_10164_a_1.nii.gz,fixed,-1024.0,1912.8,False,
train_10039_a_1.nii.gz,fixed,-8192.0,1526.0,False,
train_10210_a_1.nii.gz,fixed,-3414.5,5415.5,False,
train_10236_a_1.nii.gz,fixed,-8192.0,1775.9,False,
train_10081_a_2.nii.gz,fixed,-1024.0,2762.3,False,
train_10015_a_2.nii.gz,fixed,-1023.6,1367.3,False,
train_10242_a_1.nii.gz,fixed,-1024.0,1409.7,False,
train_101_b_1.nii.gz,fixed,-8192.0,1225.3,False,
train_10321_c_1.nii.gz,fixed,-1024.0,1927.9,False,
train_10039_a_2.nii.gz,fixed,-8192.0,1538.6,False,
train_10190_a_1.nii.gz,fixed,-1024.0,1999.2,False,
train_10092_a_2.nii.gz,fixed,-1024.0,1470.3,False,
train_10002_a_1.nii.gz,fixed,-8192.0,5233.4,False,
train_10145_a_2.nii.gz,fixed,-1024.0,1323.1,False,
train_10156_a_1.nii.gz,fixed,-1024.0,1167.2,False,
train_10076_a_1.nii.gz,fixed,-1024.0,1548.5,False,
train_10212_a_2.nii.gz,fixed,-1024.0,1305.0,False,
train_10107_a_2.nii.gz,fixed,-1024.0,1163.8,False,
train_10248_a_1.nii.gz,fixed,-2811.1,1772.4,False,
train_10026_a_2.nii.gz,fixed,-8192.0,1462.9,False,
train_10035_a_1.nii.gz,fixed,-1018.4,1354.8,False,
train_10321_a_2.nii.gz,fixed,-1024.0,2494.2,False,
train_10318_a_1.nii.gz,fixed,-1024.0,1179.0,False,
train_10291_a_2.nii.gz,fixed,-1024.0,1750.5,False,
train_10208_a_2.nii.gz,fixed,-1023.9,1735.4,False,
train_10265_a_1.nii.gz,fixed,-8192.0,2334.7,False,
train_10321_d_1.nii.gz,fixed,-1022.1,1536.6,False,
train_10125_a_2.nii.gz,fixed,-1024.0,1585.1,False,
train_102_c_1.nii.gz,fixed,-8192.0,4622.2,False,
